#Complex ac	Recommended name	Aliases for complex	Taxonomy identifier	Identifiers (and stoichiometry) of molecules in complex	Evidence Code	Experimental evidence	Go Annotations	Cross references	Description	Complex properties	Complex assembly	Ligand	Disease	Agonist	Antagonist	Comment	Source	Expanded participant list
CPX-543	PCNA homotrimer	Proliferating Cell Nuclear Antigen complex|PCNA|Proliferating Cell Nuclear Antigen	7227	P17917(3)	ECO:0000353(physical interaction evidence used in manual assertion)	-	GO:0030337(DNA polymerase processivity factor activity)|GO:0045740(positive regulation of DNA replication)|GO:0005634(nucleus)|GO:0043626(PCNA complex)|GO:0045739(positive regulation of DNA repair)|GO:0003677(DNA binding)|GO:0003682(chromatin binding)|GO:0003684(damaged DNA binding)	qsproteome:QS199677(identity)|pubmed:15210332(see-also)|wwpdb:4hk1(identity)|complex portal:CPX-543(complex-primary)	Role in DNA replication, repair, cell-cycle control, and chromatin remodeling. Exists as a double back-to-back homotrimeric ring which encircles double-stranded DNA and slides spontaneously across it. Loaded onto at template-primer junctions synthesized on unwound DNA during S phase in an ATP-dependent process by replication factor C (CPX-472), where it recruits replicative DNA polymerases and stimulates their activity. The process of chromatin assembly is tightly coupled to DNA replication or repair and the double homotrimer allows DNA polymerase delta to binds to one homotrimer whilst the chromatin assembly factor-1 CNOT7 binds to the other (By similarity).	The homotrimer weighs approximately 100kDa, the double homotrimer 200kDa. The inner cavity of the protein ring has a diameter of about 30 A. The inner surface of the ring has a positive electrostatic potential with as many as 10 positively charged amino acids per subunit protruding from alpha helices inward into the central cavity.	Homotrimer	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P17917(3)
CPX-936	HOPS tethering complex	Homotypic fusion and vacuole protein sorting complex	7227	Q24314(1)|Q7PL76(0)|Q8SX81(0)|Q9VEA2(0)|Q9VHG1(0)|Q9Y1I2(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0030897(HOPS complex)|GO:0034058(endosomal vesicle fusion)|GO:0035542(regulation of SNARE complex assembly)	qsproteome:QS194293(identity)|pubmed:31194677(see-also)|pubmed:24554766(see-also)|complex portal:CPX-936(complex-primary)	Multisubunit tethering complex involved in endo-lysosomal vesicle trafficking and lysosome biogenesis by cross-linking two membranes, and facilitating the formation of a SNARE complex during fusion. Required for the delivery of vacuolar proteins and homotypic fusion of vacuoles and controls the clearance of late endosomes and autophagosomes during heterophagy and autophagy through promoting fusion of these vesicles with the vacuole. Appears to instigate autophagosome-lysosome fusion by binding autophagosome associated Syx17 (Q9VZC9) and promoting assembly of a trans-SNARE complex Plays a role in crinophagy and eye pigment granule biogenesis.	-	-	-	-	-	-	-	psi-mi:"MI:2228"(ceitec)	Q24314(1)|Q7PL76(0)|Q8SX81(0)|Q9VEA2(0)|Q9VHG1(0)|Q9Y1I2(1)
CPX-1897	Fused-Smurf ubiquitin ligase complex	-	7227	P23647(0)|Q9V853(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-3405413	GO:1990353(Fused-Smurf ubiquitin ligase complex)|GO:0004842(ubiquitin-protein ligase activity)|GO:0006511(ubiquitin-dependent protein catabolic process)|GO:0030510(regulation of BMP signaling pathway)	qsproteome:QS115255(identity)|intenz:6.3.2(identity)|complex portal:CPX-1897(complex-primary)	Regulates ubiquitination and proteolysis of the BMP receptor Thickveins in cystoblasts, potentially by controlling Tkv ubiquitination and degradation.	-	-	-	-	-	-	-	psi-mi:"MI:0469"(IntAct)	P23647(0)|Q9V853(0)
CPX-2739	Actin-related protein 2/3 complex, Arpc3A variant	Arp 2/3 complex	7227	O97182(0)|P32392(0)|P45888(0)|Q9VF28(0)|Q9VIM5(0)|Q9VMH2(0)|Q9VQD8(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0015629(actin cytoskeleton)|GO:0005885(Arp2/3 protein complex)|GO:0034314(Arp2/3 complex-mediated actin nucleation)|GO:0003779(actin binding)|GO:0005524(ATP binding)	flybase:FBgg0000158(identity)|pubmed:14757065(see-also)|complex portal:CPX-2739(complex-primary)|intact:EBI-9024613(secondary-ac)|pubmed:11854308(see-also)|qsproteome:QS120559(identity)	Assembles branched actin networks capable of generating protrusive force and resisting mechanical deformation by stimulating new filament growth from the side of existing actin filaments associated with regions of the plasma membrane. Purified Arp2/3 complex is inactive but stimulates rapid actin polymerization in the presence of activator proteins, the most potent type being the VCA (Verprolin, cofilin, acidic) domain-containing Wiskott-Aldrich syndrome protein (WASP) family members. The Arp2/3 complex appears to bind VCA and an existing actin filament in a cooperative manner. Upon activation, Arp2 and Arp3 move into the side-by-side arrangement of consecutive actin subunits along the short pitch helical axis of an actin filament, mimicking a filamentous actin dimer and creating a template for new filament assembly. The process appears to be ATP-dependent. 	-	-	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	O97182(0)|P32392(0)|P45888(0)|Q9VF28(0)|Q9VIM5(0)|Q9VMH2(0)|Q9VQD8(0)
CPX-7681	Kinetochore MIS12 complex, Nnf1a variant	-	7227	A4V2Z1(1)|Q7JZC9(1)|Q9VS01(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-40256045	GO:0000444(MIS12/MIND type complex)|GO:0008608(attachment of spindle microtubules to kinetochore)|GO:0000922(spindle pole)|GO:0000776(kinetochore)|GO:0005634(nucleus)	qsproteome:QS117147(identity)|complex portal:CPX-7681(complex-primary)|pubmed:26911623(see-also)	Required for normal chromosome alignment and segregation, kinetochore formation during mitosis, proper kinetochore microtubule attachments and for the spindle assembly checkpoint. Binds to the centromeric protein CENP-C (Q9VHP9) to create the foundation on which the mitotic kinetochore is constructed and enable the nucleation of the KMN (Knl1, Mis12, and Ndc80 complex) network.	Mis12 and Nnf1 form an elongated heterodimer that provides a base for all other interactions within the complex. The dimer is stabilized by coiled-coil interactions within the carboxy-termini of both Mis12 and Nnf1.	Heterotrimer	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	A4V2Z1(1)|Q7JZC9(1)|Q9VS01(1)
CPX-7701	CKM complex	CDK kinase module complex	7227	P25008(0)|Q7KTX8(0)|Q9VT57(0)|Q9VW47(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0004693(cyclin-dependent protein serine/threonine kinase activity)|GO:0036033(mediator complex binding)|GO:1990508(CKM complex)	complex portal:CPX-7701(complex-primary)|pubmed:17290221(see-also)|pubmed:32463833(see-also)|pubmed:26222308(see-also)|intenz:2.7.11.22(identity)|intenz:2.7.11.23(identity)|rhea:RHEA:10216(identity)|rhea:RHEA:46608(identity)	Cyclin-dependent kinase complex which reversibly associates with the Mediator complex (CPX-2308). The mediator complex lacking the CKM complex has a stimulatory effect on basal transcription. In contrast, the mediator complex containing the sub-complex represses basal transcription. This effect is independent of kinase activity but binding of the complex to the Mediator may interfere with RNAPII recruitment and repress transcription re-initiation.	-	-	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	P25008(0)|Q7KTX8(0)|Q9VT57(0)|Q9VW47(0)
CPX-7850	2-(3-amino-3-carboxypropyl)histidine synthase complex	Diphthamide biosynthesis complex	7227	CHEBI:49883(0)|Q9VFE9(0)|Q9VTM2(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:1902494(catalytic complex)|GO:0017183(peptidyl-diphthamide biosynthetic process from peptidyl-histidine)|GO:0090560(2-(3-amino-3-carboxypropyl)histidine synthase activity)	qsproteome:QS115301(identity)|complex portal:CPX-7850(complex-primary)|pubmed:30877278(see-also)	Essential for the first step of biosynthesis of diphthamide, a unique post-translationally modified histidine residue on EEF2 (P13060), a GTPase that is essential in the elongation step of translation. The complex catalyzes the addition of an aminocarboxypropyl (ACP) group to a specific histidine residue in EEF2 using S-adenosylmethionine as a substrate. A small iron-containing protein DPH3 (Q9VGQ9) donates one Fe atom to convert the [3Fe-4S] cluster in DPH1-DPH2 to a functional [4Fe-4S] cluster during the radical-SAM enzyme catalytic cycle. the [4Fe-4S]2+ cluster in DPH1-DPH2 is reduced to [4Fe-4S]+ using dithionite as the reductant. The [4Fe-4S]+ cluster donates two electrons to SAM, cleaving it, forming an organometallic complex and releasing methylthioadenosine.The organometallic intermediate serves as a stabilized ACP radical and reacts with EEF2 to form an intermediate which is converted to the ACP-modified EEF2 product after loss of a hydrogen atom	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	Q9VFE9(0)|Q9VTM2(0)
CPX-7941	PHO transcriptional repressor complex, PHO variant	Pho-Repressive Complex|PhoRC complex	7227	Q8ST83(1)|Q9VK33(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-3894170	GO:0031519(PcG protein complex)|GO:0043565(sequence-specific DNA binding)|GO:0045892(negative regulation of DNA-templated transcription)	qsproteome:QS115587(identity)|complex portal:CPX-7941(complex-primary)|wwpdb:4c5e(identity)|wwpdb:4c5g(identity)|wwpdb:4c5h(identity)|pubmed:24186981(see-also)|flybase:FBgg0000289(identity)|pubmed:16618800(see-also)|pubmed:28778878(see-also)	Polycomb group protein complex which binds Polycomb Response Elements (PREs) in the promoters of specific genes, for example HOX genes, and represses transcription. Recruits additional proteins to form higher-order polycomb repressive complexes. 	The Pho spacer as a novel interacting motif formed by two anti-parallel beta strands connected by a short beta hairpin that tightly binds to a hydrophobic cavity in the Sfmbt MBT (IPR004092) repeat region.	Heterodimer	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	Q8ST83(1)|Q9VK33(1)
CPX-7942	PHO transcriptional repressor complex, PHOL variant	Pho-Repressive Complex|PhoRC-L complex	7227	Q9VK33(1)|Q9VSZ3(1)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-3894182	GO:0031519(PcG protein complex)|GO:0043565(sequence-specific DNA binding)|GO:0045892(negative regulation of DNA-templated transcription)	qsproteome:QS189349(identity)|flybase:FBgg0000653(identity)|pubmed:28778878(see-also)|complex portal:CPX-7942(complex-primary)|pubmed:24186981(see-also)|pubmed:16618800(see-also)	Polycomb group protein complex which binds Polycomb Response Elements (PREs) in the promoters of specific genes, for example HOX genes, and represses transcription. Recruits additional proteins to form higher-order polycomb repressive complexes. 	The Pho spacer as a novel interacting motif formed by two anti-parallel beta strands connected by a short beta hairpin that tightly binds to a hydrophobic cavity in the Sfmbt MBT (IPR004092) repeat region.	Heterodimer	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	Q9VK33(1)|Q9VSZ3(1)
CPX-7943	NatC N-alpha-acetyltransferase complex	-	7227	Q8IPZ7(0)|Q95RC0(0)|Q9W1A2(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0004596(peptide alpha-N-acetyltransferase activity)|GO:1904663(regulation of N-terminal peptidyl-methionine acetylation)|GO:0031417(NatC complex)	qsproteome:QS190679(identity)|intenz:2.3.1.256(identity)|rhea:RHEA:50520(identity)|pubmed:26861501(see-also)|rhea:RHEA:50524(identity)|rhea:RHEA:50528(identity)|rhea:RHEA:50560(identity)|rhea:RHEA:50532(identity)|flybase:FBgg0000653(identity)|complex portal:CPX-7943(complex-primary)	N(alpha)-acetyltransferases responsible for the covalent attachment of an acetyl group (CH3CO) to the free alpha-amino group (NH3+) at the N-terminal end of a polypeptide, one of the most common co-translational modifications. This changes the electrostatic properties of proteins and therefore protein function, stability and localization. NatC acetylates N-terminal methionine of proteins with hydrophobic/amphipathic N-termini (Met-Leu- Met-Ile-, Met-Phe-, Met-Trp-, Mat-Val-, Met-Met-, Met-His-, and Met-Lys-) to varying degrees	-	-	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	Q8IPZ7(0)|Q95RC0(0)|Q9W1A2(0)
CPX-7961	NatC N-alpha-acetyltransferase complex, testis-specific variant	NATC-T complex	7227	Q8IPZ7(0)|Q8IRH2(0)|Q9W1A2(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0004596(peptide alpha-N-acetyltransferase activity)|GO:0031417(NatC complex)	qsproteome:QS190665(identity)|rhea:RHEA:50560(identity)|rhea:RHEA:50520(identity)|complex portal:CPX-7961(complex-primary)|pubmed:26861501(see-also)|rhea:RHEA:50524(identity)|rhea:RHEA:50528(identity)|rhea:RHEA:50532(identity)|intenz:2.3.1.256(identity)|flybase:FBgg0001827(identity)	N(alpha)-acetyltransferases responsible for the covalent attachment of an acetyl group (CH3CO) to the free alpha-amino group (NH3+) at the N-terminal end of a polypeptide, one of the most common co-translational modifications. This changes the electrostatic properties of proteins and therefore protein function, stability and localization. NatC acetylates N-terminal methionine of proteins with hydrophobic/amphipathic N-termini (Met-Leu- Met-Ile-, Met-Phe-, Met-Trp-, Mat-Val-, Met-Met-, Met-His-, and Met-Lys-) to varying degrees. This variant is highly expressed in the testis.	-	-	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	Q8IPZ7(0)|Q8IRH2(0)|Q9W1A2(0)
CPX-7964	COP9 signalosome complex, testis-specific variant	-	7227	CHEBI:29105(0)|Q7KTH8(0)|Q8SYG2(0)|Q94899(0)|Q9V345(0)|Q9V4S8(0)|Q9VCY3(0)|Q9VJR9(0)|Q9XZ58(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0008180(COP9 signalosome)|GO:0019784(deNEDDylase activity)|GO:2000434(regulation of protein neddylation)	qsproteome:QS120261(identity)|pubmed:14570571(see-also)|pubmed:10531038(see-also)|pubmed:25106867(see-also)|flybase:FBgg0000152(identity)|complex portal:CPX-7964(complex-primary)|intenz:3.4(identity)	Plays a central role in the regulation of the E3-cullin RING ubiquitin ligases, deNEDDylating the cullin subunit via the isopeptidase activity of the CNS5 subunit. CSN1a lacks a PCI domain (IPR000717) and is primarily expressed in the testis.	-	-	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	Q7KTH8(0)|Q8SYG2(0)|Q94899(0)|Q9V345(0)|Q9V4S8(0)|Q9VCY3(0)|Q9VJR9(0)|Q9XZ58(0)
CPX-7974	COP9 signalosome complex	-	7227	CHEBI:29105(0)|Q7KTH8(0)|Q8SYG2(0)|Q94899(0)|Q9V345(0)|Q9V4S8(0)|Q9VCY3(0)|Q9VVU5(0)|Q9XZ58(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0008180(COP9 signalosome)|GO:0019784(deNEDDylase activity)|GO:2000434(regulation of protein neddylation)	qsproteome:QS118391(identity)|pubmed:10531038(see-also)|pubmed:14570571(see-also)|pubmed:25106867(see-also)|complex portal:CPX-7974(complex-primary)|flybase:FBgg0001829(identity)|intenz:3.4(identity)	Plays a central role in the regulation of the E3-cullin RING ubiquitin ligases, deNEDDylating the cullin subunit via the isopeptidase activity of the CNS5 subunit. CSN1a lacks a PCI domain and is primarily expressed in the testis.	-	-	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	Q7KTH8(0)|Q8SYG2(0)|Q94899(0)|Q9V345(0)|Q9V4S8(0)|Q9VCY3(0)|Q9VVU5(0)|Q9XZ58(0)
CPX-8008	Survival motor neuron complex, Gem4A variant	-	7227	Q86BY9(0)|Q9V3C4(0)|Q9VV74(0)|Q9VVX0(0)|Q9W4N9(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0032797(SMN complex)|GO:0000387(spliceosomal snRNP assembly)	qsproteome:QS195265(identity)|pubmed:30563832(see-also)|flybase:FBgg0000462(identity)|complex portal:CPX-8008(complex-primary)	Molecular chaperone that plays a catalyst role in the assembly of small nuclear ribonucleoproteins (snRNPs), the building blocks of the spliceosome, thus playing an important role in the splicing of cellular pre-mRNAs.	-	-	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	Q86BY9(0)|Q9V3C4(0)|Q9VV74(0)|Q9VVX0(0)|Q9W4N9(0)
CPX-8066	Survival motor neuron complex, Gem4B variant	-	7227	Q86BY9(0)|Q8IRT0(0)|Q9V3C4(0)|Q9VV74(0)|Q9VVX0(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0032797(SMN complex)|GO:0000387(spliceosomal snRNP assembly)	qsproteome:QS119375(identity)|flybase:FBgg0001831(identity)|pubmed:30563832(see-also)|complex portal:CPX-8066(complex-primary)	Molecular chaperone that plays a catalyst role in the assembly of small nuclear ribonucleoproteins (snRNPs), the building blocks of the spliceosome, thus playing an important role in the splicing of cellular pre-mRNAs.	-	-	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	Q86BY9(0)|Q8IRT0(0)|Q9V3C4(0)|Q9VV74(0)|Q9VVX0(0)
CPX-8067	Survival motor neuron complex, Gem4C variant	-	7227	Q86BY9(0)|Q8IRS9(0)|Q9V3C4(0)|Q9VV74(0)|Q9VVX0(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0032797(SMN complex)|GO:0000387(spliceosomal snRNP assembly)	qsproteome:QS119355(identity)|pubmed:30563832(see-also)|complex portal:CPX-8067(complex-primary)|flybase:FBgg0001832(identity)	Molecular chaperone that plays a catalyst role in the assembly of small nuclear ribonucleoproteins (snRNPs), the building blocks of the spliceosome, thus playing an important role in the splicing of cellular pre-mRNAs.	-	-	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	Q86BY9(0)|Q8IRS9(0)|Q9V3C4(0)|Q9VV74(0)|Q9VVX0(0)
CPX-8068	Mitochondrial pyruvate carrier complex	MPC complex|Pyruvate import complex	7227	Q7KSC4(1)|Q9VHB2(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0005743(mitochondrial inner membrane)|GO:0006850(mitochondrial pyruvate transmembrane transport)|GO:0050833(pyruvate transmembrane transporter activity)|GO:0098800(inner mitochondrial membrane protein complex)	qsproteome:QS189395(identity)|complex portal:CPX-8068(complex-primary)|pubmed:37366179(see-also)|pubmed:34774497(see-also)	Regulates the uptake of pyruvate from the mitochondrial intermembrane space into the mitochondrial matrix. 	-	Heterodimer	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	Q7KSC4(1)|Q9VHB2(1)
CPX-8069	Chromosomal passenger complex, mitotic variant	-	7227	Q7JRJ9(0)|Q9VEM2(0)|Q9VKN7(0)|Q9VLD6(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0032133(chromosome passenger complex)|GO:0000281(mitotic cytokinesis)|GO:0004674(protein serine/threonine kinase activity)|GO:0051256(mitotic spindle midzone assembly)|GO:0000070(mitotic sister chromatid segregation)	pubmed:25798441(see-also)|qsproteome:QS190687(identity)|intenz:2.7.11.1(identity)|rhea:RHEA:46608(identity)|rhea:RHEA:17989(identity)|complex portal:CPX-8069(complex-primary)|flybase:FBgg0001833(identity)	Serine/threonine kinase complex which ensures chromosome bi-orientation on the mitotic spindle during metaphase by phosphorylating multiple kinetochore components. It destabilizes monopolar attachments by phosphorylating key proteins at the kinetophore. The chromosomal passenger complex (CPC) regulates chromosome segregation and cytokinesis. 	-	-	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	Q7JRJ9(0)|Q9VEM2(0)|Q9VKN7(0)|Q9VLD6(0)
CPX-8071	Chromosomal passenger complex, meiotic variant	-	7227	Q7JRJ9(0)|Q9VEM2(0)|Q9VKN7(0)|Q9VLD7(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0032133(chromosome passenger complex)|GO:0004674(protein serine/threonine kinase activity)|GO:0033206(meiotic cytokinesis)|GO:0045144(meiotic sister chromatid segregation)|GO:0051257(meiotic spindle midzone assembly)	qsproteome:QS199699(identity)|intenz:2.7.11.1(identity)|pubmed:25798441(see-also)|flybase:FBgg0001834(identity)|complex portal:CPX-8071(complex-primary)|pubmed:18268101(see-also)|rhea:RHEA:17989(identity)|rhea:RHEA:46608(identity)	Serine/threonine kinase complex which ensures chromosome bi-orientation on the male meiotic spindle during metaphase by phosphorylating multiple kinetochore components. It destabilizes monopolar attachments by phosphorylating key proteins at the kinetophore. The chromosomal passenger complex (CPC) regulates chromosome segregation and cytokinesis. 	-	-	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	Q7JRJ9(0)|Q9VEM2(0)|Q9VKN7(0)|Q9VLD7(0)
CPX-8618	Mitochondrial proton-transporting ATP synthase complex	Mitochondrial respiratory chain complex V|F1-F0 ATP synthase complex	7227	O01666(0)|O77134(0)|P00850(0)|P35381(0)|P84345(0)|Q05825(0)|Q24251(0)|Q24407(0)|Q24439(0)|Q6NN09(0)|Q94516(0)|Q9VKM3(0)|Q9VXN2(0)|Q9W141(0)|Q9W2U8(0)|Q9W2X6(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0045259(proton-transporting ATP synthase complex)|GO:0005743(mitochondrial inner membrane)|GO:0015986(proton motive force-driven ATP synthesis)|GO:0046933(proton-transporting ATP synthase activity, rotational mechanism)	qsproteome:QS115357(identity)|flybase:FBgg0001849(identity)|complex portal:CPX-8618(complex-primary)|intenz:7.1.2.2(identity)|rhea:RHEA:57720(identity)|pubmed:15693940(see-also)|pubmed:25550160(see-also)	Acts to convert the energy of oxidation-reduction reactions of the electron transport chain (respiration) to the phosphorylation of ADP. The synthesis of ATP is coupled to the respiratory chain via the proton potential. The ATP synthase is a molecular motor composed of two separable parts: F1 and Fo. The F1 portion contains the catalytic sites for ATP synthesis and protrudes into the mitochondrial matrix. Fo forms a proton turbine that is embedded in the inner membrane and connected to the rotor of F1. The flux of protons flowing down a potential gradient powers the rotation of the rotor driving the synthesis of ATP. Thus, the flow of protons though Fo is coupled to the synthesis of ATP. May also play a role in Ca(2+)-induced Ca(2+) release from the mitochondria.	Multimeric enzyme complex with an overall molecular weight of about 600,000 Da, consisting of an extra-membranous F1 catalytic domain linked by a central stalk to an intrinsic Fo membrane domain.	-	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	O01666(0)|O77134(0)|P00850(0)|P35381(0)|P84345(0)|Q05825(0)|Q24251(0)|Q24407(0)|Q24439(0)|Q6NN09(0)|Q94516(0)|Q9VKM3(0)|Q9VXN2(0)|Q9W141(0)|Q9W2U8(0)|Q9W2X6(0)
CPX-8619	Mitochondrial proton-transporting ATP synthase complex, testis-specific variant	Mitochondrial respiratory chain complex V|F1-F0 ATP synthase complex	7227	A1ZAH1(0)|O01666(0)|O77134(0)|P00850(0)|P35381(0)|P84345(0)|Q24439(0)|Q6NN09(0)|Q8T4C4(0)|Q9VH24(0)|Q9VLY0(0)|Q9VR92(0)|Q9VR93(0)|Q9VU49(0)|Q9VZ72(0)|Q9W141(0)|Q9W2X6(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0005743(mitochondrial inner membrane)|GO:0015986(proton motive force-driven ATP synthesis)|GO:0046933(proton-transporting ATP synthase activity, rotational mechanism)|GO:0045259(proton-transporting ATP synthase complex)	qsproteome:QS119345(identity)|flybase:FBgg0001845(identity)|pubmed:28335714(see-also)|pubmed:30628672(see-also)|intenz:7.1.2.2(identity)|rhea:RHEA:57720(identity)|pubmed:15693940(see-also)|pubmed:25550160(see-also)|complex portal:CPX-8619(complex-primary)	Acts to convert the energy of oxidation-reduction reactions of the electron transport chain (respiration) to the phosphorylation of ADP. The synthesis of ATP is coupled to the respiratory chain via the proton potential. The ATP synthase is a molecular motor composed of two separable parts: F1 and Fo. The F1 portion contains the catalytic sites for ATP synthesis and protrudes into the mitochondrial matrix. Fo forms a proton turbine that is embedded in the inner membrane and connected to the rotor of F1. The flux of protons flowing down a potential gradient powers the rotation of the rotor driving the synthesis of ATP. Thus, the flow of protons though Fo is coupled to the synthesis of ATP. May also play a role in Ca(2+)-induced Ca(2+) release from the mitochondria.	Multimeric enzyme complex with an overall molecular weight of about 600,000 Da, consisting of an extra-membranous F1 catalytic domain linked by a central stalk to an intrinsic Fo membrane domain.	-	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	A1ZAH1(0)|O01666(0)|O77134(0)|P00850(0)|P35381(0)|P84345(0)|Q24439(0)|Q6NN09(0)|Q8T4C4(0)|Q9VH24(0)|Q9VLY0(0)|Q9VR92(0)|Q9VR93(0)|Q9VU49(0)|Q9VZ72(0)|Q9W141(0)|Q9W2X6(0)
CPX-8620	Mitochondrial respiratory chain complex IV	-	7227	CHEBI:23378(2)|CHEBI:30413(2)|P00399(0)|P00408(0)|P00417(0)|Q6IHY5(0)|Q7JW00(0)|Q8SYJ2(0)|Q94514(0)|Q9VHS2(0)|Q9VIQ8(0)|Q9VMB9(0)|Q9VMS1(0)|Q9VP19(0)|Q9VVG5(0)|Q9VWD1(0)|Q9W1N3(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0045277(respiratory chain complex IV)|GO:0004129(cytochrome-c oxidase activity)|GO:0006123(mitochondrial electron transport, cytochrome c to oxygen)|GO:0031966(mitochondrial membrane)	qsproteome:QS189393(identity)|flybase:FBgg0001847(identity)|intenz:7.1.1.9(identity)|rhea:RHEA:11436(identity)|complex portal:CPX-8620(complex-primary)|pubmed:35699132(see-also)	Terminal oxidase of the electron transport chain in mitochondria. It accepts electrons from cytochrome c to reduce the oxygen to water and pumps two protons from the matrix side to the intermembrane space. Electrons originating from reduced cytochrome c in the intermembrane space are transferred via the dinuclear copper center of mt:CoII and heme A of mt:CoI to the active site in mt:CoI, a binuclear center formed by heme A3 and a second copper atom.. The binuclear center reduces molecular oxygen to 2 water molecules using 4 electrons from cytochrome c in the intermembrane space and 4 protons from the mitochondrial matrix.	-	-	-	-	-	-	-	psi-mi:"MI:0478"(FlyBase)	P00399(0)|P00408(0)|P00417(0)|Q6IHY5(0)|Q7JW00(0)|Q8SYJ2(0)|Q94514(0)|Q9VHS2(0)|Q9VIQ8(0)|Q9VMB9(0)|Q9VMS1(0)|Q9VP19(0)|Q9VVG5(0)|Q9VWD1(0)|Q9W1N3(0)
