#Complex ac	Recommended name	Aliases for complex	Taxonomy identifier	Identifiers (and stoichiometry) of molecules in complex	Evidence Code	Experimental evidence	Go Annotations	Cross references	Description	Complex properties	Complex assembly	Ligand	Disease	Agonist	Antagonist	Comment	Source	Expanded participant list
CPX-4024	MTM6-MTM9 myotubularin lipid phosphatase complex	-	6239	G5ED68(0)|Q965W9(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0006897(endocytosis)|GO:0007416(synapse assembly)|GO:0016324(apical plasma membrane)|GO:0046856(phosphatidylinositol dephosphorylation)|GO:0004438(phosphatidylinositol-3-phosphatase activity)|GO:1904144(phosphatidylinositol phosphate phosphatase complex)	qsproteome:QS116493(identity)|intenz:3.1.3.64(identity)|pubmed:14565969(see-also)|pubmed:25479419(see-also)|complex portal:CPX-4024(complex-primary)	A protein phosphatase complex that dephosphorylates the 3'-phosphate of phosphatidylinositol-3-phosphate (PI3P) (CHEBI:26034) to regulate phosphoinositide (PI)-phosphate levels. PIs control processes such as membrane trafficking through their ability to bind effector proteins containing PI-binding domains to the membrane. The complex functions in an arf-6- and rme-1-mediated endocytic pathway in coelomocytes. Plays a role in endosome trafficking probably by regulating PI3P levels. In addition, the complex regulates neuronal function by promoting synapse formation of DA9 motor neurons.	Heterodimer. Phosphatase activity of the complex requires the binding of phosphatase inactive myotubularin mtm-9 to phosphatase active myotubularin mtm-6.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5ED68(0)|Q965W9(0)
CPX-4025	pph-6-saps-1 phosphatase complex	PPH-6–SAPS-1 complex|PPH-6/SAPS-1	6239	B2D6K9(0)|Q09496(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:1903293(phosphatase complex)|GO:0051653(spindle localization)|GO:0004722(protein serine/threonine phosphatase activity)|GO:0000916(actomyosin contractile ring contraction)|GO:0005737(cytoplasm)|GO:0045931(positive regulation of mitotic cell cycle)	qsproteome:QS134049(identity)|complex portal:CPX-4025(complex-primary)|intenz:3.1.3.16(identity)|pubmed:20040490(see-also)	A protein phosphatase complex that dephosphorylates targets to modulate processes such as cytokinesis during cell division. Specifically, the complex is required for the organisation of cortical non-muscle myosin II (nmy-2) (G5EBY3) and spindle positioning in one-cell stage embryos. Plays a role in nmy-1 distribution during anaphase and cytokinesis. Required for proper pulling forces that drive mitotic spindle movement during anaphase, by promoting the cortical localization of components of the gpr-1-gpr-2-lin-5 complex (CPX-4027).	Localises to the cell cortex.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	B2D6K9(0)|Q09496(0)
CPX-4027	gpr-1-gpr-2-lin-5 complex	-	6239	P45970(0)|Q03569(0)|Q95QJ7(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0008277(regulation of G protein-coupled receptor signaling pathway)|GO:0007097(nuclear migration)|GO:0005938(cell cortex)|GO:0000022(mitotic spindle elongation)|GO:0072686(mitotic spindle)|GO:0040001(establishment of mitotic spindle localization)	qsproteome:QS134059(identity)|complex portal:CPX-4027(complex-primary)|pubmed:12730122(see-also)	Controls nuclear rotation and spindle elongation during mitosis in early embryonic divisions, activating G-protein signaling to affect mitotic spindle forces that drive spindle movement. Within the complex, gpr-1 binds to G protein goa-1 (P51875; ADP-bound form), which plays a role in the cortical localization of gpr-1 and gpr-2. 	Molecular weight: ~700kDa. Localises to the mitotic spindle and cell cortex. Lin-5 recruits or anchors the complex to the spindle and cell cortex. 	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P45970(0)|Q03569(0)|Q95QJ7(0)
CPX-4114	Prohibitin complex	Mitochondrial Prohibitin complex|phb-1-phb-2 complex	6239	P50093(0)|Q9BKU4(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0005743(mitochondrial inner membrane)|GO:0035632(mitochondrial prohibitin complex)|GO:0007005(mitochondrion organization)|GO:0050821(protein stabilization)	qsproteome:QS121583(identity)|complex portal:CPX-4114(complex-primary)|pubmed:26092086(see-also)	Chaperone which is essential for mitochondrial biogenesis and degradation, and for the mitochondrial stress response. Functions to protect the cell from imbalances in the production of mitochondrial proteins by stabilizing newly synthesised mitochondrial-encoded proteins . Also acts as a scaffold that recruits membrane proteins to a specific lipid environment. Plays a role in longevity.	Assembled into a ring-like macromolecular structure at the inner mitochondrial membrane.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P50093(0)|Q9BKU4(0)
CPX-4127	ZFP-1(AF10)/DOT-1 complex	zfp-1-dot-1.1 complex	6239	P34447(0)|Q6AW06(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-21396671	GO:0035097(histone methyltransferase complex)|GO:0005694(chromosome)|GO:0003682(chromatin binding)|GO:0008168(methyltransferase activity)|GO:0006357(regulation of transcription by RNA polymerase II)	qsproteome:QS116477(identity)|rhea:RHEA:60328(identity)|complex portal:CPX-4127(complex-primary)|pubmed:23806335(see-also)|intenz:2.1.1.43(identity)	Histone methylation complex which preferentially methylates 'Lys-79' of histone H3 to modulate transcription. Part of a negative feedback mechanism opposing H2B ubiquitination and contributing to the pausing of transcription elongation by RNA polymerase II that occurs on essential genes widely expressed during development.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P34447(0)|Q6AW06(0)
CPX-4305	DHIC complex	DDL-1-containing HSF-1 inhibitory complex|DHIC	6239	G5EFT5(0)|O01901(0)|O18195(0)|Q9U3B7(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	intact:EBI-5395698	GO:0071203(WASH complex)|GO:0010468(regulation of gene expression)	qsproteome:QS116489(identity)|complex portal:CPX-4305(complex-primary)|pubmed:22265419(see-also)	Inhibitory complex which modulates longevity by sequestering the heat-shock transcription factor hsf-1 to negatively regulate its binding to DNA and transcriptional activity. Phosphorylation of ddl-1, possibly by the insulin/IGF-1-like signalling (IIS) pathway, promotes the dissociation of the complex and activates the hsf-1-induced transcription of stress response and longevity genes.	Hsb-1 is required for formation of the complex. Phosphorylation of ddl-1 at Thr-182 promotes dissociation of the complex.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5EFT5(0)|O01901(0)|O18195(0)|Q9U3B7(0)
CPX-4306	PETISCO, pid-1 variant	pid-3, erh-2, tofu-6 and ife-3 small RNA complex	6239	O61955(0)|O76616(0)|Q09293(0)|Q19541(0)|Q20057(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-2415585	GO:0034583(21U-RNA binding)|GO:0034585(21U-RNA metabolic process)|GO:0000339(RNA cap binding)|GO:0034518(RNA cap binding complex)|GO:0034587(piRNA processing)	qsproteome:QS114909(identity)|complex portal:CPX-4306(complex-primary)|pubmed:31147388(see-also)	Involved in the processing of substrate RNAs in the gene silencing pathway. When bound to pid-1, it is specifically required for the biogenesis of 21U RNAs, which are a class of 21 nucleotide piRNAs that possess a uracil residue at the 5-prime end. pid-1 is required for stabilising 21U precursor RNA molecules, whilst ife-3 is required for the interaction with capped 21U precursor RNA molecules.	There is some evidence that ERH-2 may be present as a dimer in the complex.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	O61955(0)|O76616(0)|Q09293(0)|Q19541(0)|Q20057(0)
CPX-4307	PETISCO, tost-1 variant	pid-3, erh-2, tofu-6 and ife-3 small RNA complex	6239	O61955(0)|O76616(0)|Q09293(0)|Q18490(0)|Q20057(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-2415585	GO:0000339(RNA cap binding)|GO:0034518(RNA cap binding complex)|GO:0009792(embryo development)	qsproteome:QS134053(identity)|pubmed:31147388(see-also)|complex portal:CPX-4307(complex-primary)	Involved in the processing of substrate RNAs. When bound to tost-1, it binds to splice leader SL1 RNA fragments. SL1 fragments are trans-spliced to the 5-prime ends of a large fraction of all mRNAs. Ife-3 is required for the interaction with capped RNA molecules. In contrast to the PETISCO, pid-1 variant complex (CPX-4306), the complex has a minor role in 21U RNA biogenesis, but is essential for embryogenesis.	There is some evidence that ERH-2 may be present as a dimer in the complex.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	O61955(0)|O76616(0)|Q09293(0)|Q18490(0)|Q20057(0)
CPX-4311	nrfl-1-aat-6 complex	-	6239	G5EDM4(0)|Q22397(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-21450276	GO:1990184(amino acid transport complex)|GO:0080144(amino acid homeostasis)|GO:0015807(L-amino acid transport)|GO:0015171(amino acid transmembrane transporter activity)	qsproteome:QS114903(identity)|pubmed:22916205(see-also)|complex portal:CPX-4311(complex-primary)|pubmed:30560135(see-also)	Amino acid transporter complex that is required for the absorption of amino acids in the intestine. nrfl-1 sequesters the amino acid transporter aat-6 to the plasma membrane, where it probably mediates the uptake of the L-enantiomers of various amino acids, including L-glutamate. 	Isoforms a, c and d contain two PDZ domains. Only the second PDZ domain is conserved in isoforms b and e. The PDZ second domain is preferentially required for binding to the amino acid transporter protein aat-6 (Q22397).	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5EDM4(0)|Q22397(0)
CPX-4322	Cyclin-dependent protein kinase 5 holoenzyme complex	CDK5-p35 complex|cdk-5-cdka-1 complex|cyclin-dependent kinase 5 complex|Cyclin-dependent kinase 5/CDK5 activator 1	6239	G5ECH7(0)|Q22695(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	intact:EBI-2420671	GO:1990048(anterograde neuronal dense core vesicle transport)|GO:0004693(cyclin-dependent protein serine/threonine kinase activity)|GO:1902803(regulation of synaptic vesicle transport)|GO:0048491(retrograde synaptic vesicle transport)|GO:0016533(protein kinase 5 complex)|GO:0004674(protein serine/threonine kinase activity)	qsproteome:QS134054(identity)|pubmed:22699897(see-also)|complex portal:CPX-4322(complex-primary)|intenz:2.7.11.1(identity)|pubmed:20510931(see-also)	A proline-directed serine/threonine kinase complex that functions in neuronal activities unrelated to cell-cycle progression. Regulates the axonal transport of synaptic vesicle precursors by inhibiting dynein-mediated retrograde transport In DA motor neurons. Regulates the trafficking of dense-core vesicles in DA and DB motor neurons by promoting anterograde trafficking to the axon and preventing dynein-dependent trafficking to the dendrite	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5ECH7(0)|Q22695(0)
