#Complex ac	Recommended name	Aliases for complex	Taxonomy identifier	Identifiers (and stoichiometry) of molecules in complex	Evidence Code	Experimental evidence	Go Annotations	Cross references	Description	Complex properties	Complex assembly	Ligand	Disease	Agonist	Antagonist	Comment	Source	Expanded participant list
CPX-365	GARP tethering complex	Golgi-associated retrograde protein complex|VPS fifty three complex|VFT complex|Vps fifty three tethering complex	6239	G5EFV8(0)|O01839(0)|P34561(0)|Q22639(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0042147(retrograde transport, endosome to Golgi)|GO:0000149(SNARE binding)|GO:0000938(GARP complex)	qsproteome:QS116517(identity)|pubmed:21613545(see-also)|complex portal:CPX-365(complex-primary)	Tethering complex required for retrograde traffic from both the early and late endosomes to the Golgi during vesicle trafficking. Links the vesicle through differential SNARE interactions to the Golgi, leading to membrane fusion between late Golgi and endosomal vesicles.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5EFV8(0)|O01839(0)|P34561(0)|Q22639(0)
CPX-368	Polycomb Repressive Complex 2	Mes-2/Mes-3/Mes-6 complex|PcG protein complex|Polycomb group protein complex|Histone-lysine N-methyltransferase mes complex	6239	O17514(0)|Q10665(0)|Q9GYS1(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-11615841	GO:0031519(PcG protein complex)|GO:0010629(negative regulation of gene expression)|GO:0046976(histone methyltransferase activity (H3-K27 specific))	qsproteome:QS115311(identity)|intenz:2.1.1.43(identity)|pubmed:11320248(see-also)|pubmed:15380065(see-also)|complex portal:CPX-368(complex-primary)	Chromatin repressor complex that di- and tri-methylates lysine 27 of histone H3 in the early embryo and adult germline to transcriptionally repress target genes. In the germline, silencing occurs on the X chromosomes in hermaphrodites thus controlling germline development. 	Stokes radius is approximately 6.93nm. Molecular mass is approximately 255kDa.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	O17514(0)|Q10665(0)|Q9GYS1(0)
CPX-372	Zyg-9/Tac-1 complex	Tac-1/Zyg-9 complex	6239	G5ECG0(0)|G5EEM5(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-2912701	GO:0061673(mitotic spindle astral microtubule)|GO:1990498(mitotic spindle microtubule)|GO:0005813(centrosome)|GO:0043515(kinetochore binding)|GO:0008017(microtubule binding)|GO:0008017(microtubule binding)|GO:0005813(centrosome)|GO:0007017(microtubule-based process)|GO:0007017(microtubule-based process)|GO:0072687(meiotic spindle)|GO:1990498(mitotic spindle microtubule)	qsproteome:QS116469(identity)|pubmed:12956950(see-also)|pubmed:17666432(see-also)|pubmed:12956952(see-also)|complex portal:CPX-372(complex-primary)	Microtubule stabilizing complex that functions during the early stages of embryonic development to regulate microtubule assembly throughout the cell cycle. Specifically, the complex is required for the formation and growth of astral microtubules and spindle microtubles during mitotic spindle assembly. Thought to function in a partially redundant manner with the Tac-1/Zyg-8 complex to regulate microtubule assembly and processes during interphase, mitosis and meiosis in one-cell stage embryos. The complex directly binds to centosomes throughout the cell cycle and the kinetochore of metaphase and early anaphase chromosomes. At anaphase, the complex is required for mitotic spindle positioning in one-cell stage embryos.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5ECG0(0)|G5EEM5(0)
CPX-374	Zyg-8/Tac-1 complex	Tac-1/Zyg-8 complex	6239	G5ECG0(0)|Q95QC4(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-2912751	GO:0072687(meiotic spindle)|GO:1990498(mitotic spindle microtubule)|GO:0007017(microtubule-based process)	qsproteome:QS116409(identity)|pubmed:17666432(see-also)|complex portal:CPX-374(complex-primary)	Microtubule stabilizing complex that functions during the early stages of embryonic development to regulate microtubule assembly throughout the cell cycle. Thought to function in a partially redundant manner with the Zyg-9/Tac-1 complex to regulate microtubule assembly and processes during interphase, mitosis and meiosis in one-cell stage embyos.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5ECG0(0)|Q95QC4(0)
CPX-375	brc-1/brd-1 E3 ubiquitin ligase complex	CeBCD complex	6239	B6VQ60(0)|Q21209(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-3895773	GO:0006974(cellular response to DNA damage stimulus)|GO:0031436(BRCA1-BARD1 complex)|GO:0061630(ubiquitin protein ligase activity)|GO:1905168(positive regulation of double-strand break repair via homologous recombination)	qsproteome:QS115307(identity)|pubmed:24424777(see-also)|pubmed:14711411(see-also)|pubmed:16628214(see-also)|intenz:2.3.2.27(identity)|complex portal:CPX-375(complex-primary)	E3 ubiquitin ligase containing complex that mediates the formation of 'Lys-6'-linked polyubiquitin chains and coordinates a diverse range of cellular pathways such as DNA damage repair, ubiquitination and transcriptional regulation to maintain genomic stability, initiating homologous recombination at stalled replication forks. The E3-ubiquitin ligase is responsible for ubiquitination at DNA-damage sites in response to ionizing radiation. The complex associates with the E2-ubiquitin-conjugating enzyme, let-70, to form an active E3-ubiquitin ligase on chromatin in response to DNA damage.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	B6VQ60(0)|Q21209(0)
CPX-398	ced-9-egl-1 complex	-	6239	O61667(0)|P41958(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-1040390	GO:0043065(positive regulation of apoptotic process)	qsproteome:QS117649(identity)|wwpdb:1TY4(identity)|pubmed:10846174(see-also)|pubmed:12894216(see-also)|pubmed:15383288(see-also)|complex portal:CPX-398(complex-primary)	Complex plays a major role in programmed cell death (apoptosis). Egl-1 binds to and directly inhibits the activity of ced-9, releasing the cell death activator ced-4 from the ced-9-ced-4 complex and allowing ced-4 to activate the cell-killing caspase ced-3.	The complex melting temperature is 74 degrees Celsius.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	O61667(0)|P41958(0)
CPX-399	ced-9-ced-4 complex	-	6239	P30429(0)|P41958(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-496086	GO:0043065(positive regulation of apoptotic process)|GO:0005739(mitochondrion)	qsproteome:QS134044(identity)|pubmed:15383288(see-also)|pubmed:10846174(see-also)|wwpdb:2a5y(identity)|pubmed:16167070(see-also)|pubmed:16208361(see-also)|complex portal:CPX-399(complex-primary)	Complex plays a major role in programmed cell death (apoptosis), by causing the sequestration and inhibition of ced-4. egl-1 binds to and directly inhibits the activity of ced-9, releasing the cell death activator ced-4 from the ced-9-ced-4 complex and allowing ced-4 to activate the cell-killing caspase ced-3. 	The complex has been speculated to be either a heterotrimer or heterotetramer. With a 2:1 stoichiometry, the complex contains two molecules of ced-4 and one molecule of ced-9 and has a molecular mass of 150 kDa. As a 2:2 heterotetramer the complex has a molar mass of 175 kDa.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P30429(0)|P41958(0)
CPX-400	Bub-1-Bub-3 complex	Bub-1/Bub-3 complex	6239	Q21776(0)|Q9XWH0(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-344750	GO:1990298(bub1-bub3 complex)|GO:1990299(Bub1-Bub3 complex localization to kinetochore)|GO:0007094(mitotic spindle assembly checkpoint)	qsproteome:QS134041(identity)|pubmed:25987605(see-also)|pubmed:14704431(see-also)|complex portal:CPX-400(complex-primary)	Present throughout the cell cycle, this complex promotes spindle assembly checkpoint signalling. The spindle checkpoint ensures accurate chromosome segregation by sending a signal from an unattached kinetochore to inhibit anaphase onset. Localises to the kinetochore region of mitotic chromosomes to promote the onset of anaphase in a fashion that is independent of its function in spindle assembly checkpoint signalling and chromosome alignment. The complex also recruits other spindle components to the kinetochore region.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	Q21776(0)|Q9XWH0(0)
CPX-401	Mitotic checkpoint complex, Mad-1-Mad-2-Bub-1-Bub-3 subcomplex	mdf-1-mdf-2-bub-1-bub-3 complex	6239	G5EFM0(0)|Q21776(0)|Q9NGT3(0)|Q9XWH0(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0000776(kinetochore)|GO:0007094(mitotic spindle assembly checkpoint)	qsproteome:QS134406(identity)|pubmed:24567362(see-also)|complex portal:CPX-401(complex-primary)	This complex forms during mitosis, as a result of the activation of the spindle checkpoint. bub-3 and bub-1 are associated through the cell cycle, however, the addition of mdf-1 is cell cycle dependent. The interaction of bub-1 and mdf-1 recruits mdf-1 to unattached kinetochores during mitosis and between homologous chromosomes in early anaphase of meiosis I.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5EFM0(0)|Q21776(0)|Q9NGT3(0)|Q9XWH0(0)
CPX-402	Mitotic spindle assembly checkpoint mad-1-mad-2 complex	mad-1/mad-2 complex|mad-1-mad-2 core complex|mdf-1/mdf-2 complex	6239	G5EFM0(0)|Q9NGT3(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-345059	GO:1990728(mitotic spindle assembly checkpoint MAD1-MAD2 complex)|GO:0000776(kinetochore)|GO:0033316(meiotic spindle assembly checkpoint)|GO:0007094(mitotic spindle assembly checkpoint)	qsproteome:QS114857(identity)|pubmed:24567362(see-also)|complex portal:CPX-402(complex-primary)	Acts at the spindle checkpoint, in a surveillance mechanism that mediates a delay in the onset of anaphase, until all chromosomes are properly attached to the mitotic or meiotic spindle. Required for the checkpoint response to absence of spindle tension, localising only to unattached kinetochores but not to attached kinetochores that lack tension, and participate in a bipolar orientation defect signalling pathway. Interaction between mdf-1 and bub-1 recruits the mad-1-mad-2 complex to unattached kinetochores.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5EFM0(0)|Q9NGT3(0)
CPX-420	xtbd-paxt-1 complex	-	6239	Q21738(1)|Q9U299(1)	ECO:0000353(physical interaction evidence used in manual assertion)	-	GO:0060965(negative regulation of gene silencing by miRNA)|GO:0010587(miRNA catabolic process)|GO:0008409(5'-3' exonuclease activity)	qsproteome:QS117621(identity)|pubmed:26779609(see-also)|intenz:3.1.13(identity)|wwpdb:5fir(identity)|pubmed:24462208(see-also)|complex portal:CPX-420(complex-primary)	5'-3' exonuclease complex that maintains the steady-state concentration and turnover of microRNAs (miRNA) by degradation of mature miRNA. Paxt-1 stabilizes and enhances the activity of xrn-2 within the complex.	Molecular mass: 83kDa. Melting temperature: 55 degrees Celsius. KM=0.287 uM for 30nt RNA-DNA duplex. Vmax=0.000168 umol/sec/ug enzyme. Kcat=0.011/sec. 	Heterodimer	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	Q21738(1)|Q9U299(1)
CPX-428	BBSome complex	BBSome complex	6239	O01514(0)|Q19640(0)|Q21626(0)|Q23049(0)|Q5CZ52(0)|Q9NEZ7(0)|Q9XW70(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0005929(cilium)|GO:0060271(cilium assembly)|GO:0034464(BBSome)	qsproteome:QS134409(identity)|pubmed:22922713(see-also)|pubmed:26150102(see-also)|complex portal:CPX-428(complex-primary)	The BBSome complex is thought to function as a coat complex required for sorting of specific membrane proteins to the primary cilia. The BBSome complex is required for ciliogenesis but is dispensable for centriolar satellite function. bbs-1, bbs-2, bbs-4, osm-12, bbs-8 and bbs-9 are required for proper BBSome complex assembly and its ciliary localization. bbs-5 is required for BBSome localization only.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	O01514(0)|Q19640(0)|Q21626(0)|Q23049(0)|Q5CZ52(0)|Q9NEZ7(0)|Q9XW70(0)
CPX-479	Bloc-1 complex	Biogenesis of Lysosome-related Organelles Complex-1	6239	O01822(0)|O44445(0)|Q18446(0)|Q22616(0)|Q22756(0)|Q95XD3(0)|Q9XWQ1(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0031082(BLOC complex)|GO:1904757(positive regulation of gut granule assembly)|GO:0016197(endosomal transport)	qsproteome:QS116423(identity)|pubmed:22916203(see-also)|complex portal:CPX-479(complex-primary)	Implicated in the formation and/or maturation of tubular vesicular intermediates between endosomes and lysosome-related organelles. Possible role in intracellular endosomal trafficking modulating SNARE localisation and activity. Involved in gut granule biogenesis.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	O01822(0)|O44445(0)|Q18446(0)|Q22616(0)|Q22756(0)|Q95XD3(0)|Q9XWQ1(0)
CPX-499	Catenin-Cadherin complex	CCC	6239	O44326(1)|P90947(0)|Q967F4(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0016342(catenin complex)|GO:0005912(adherens junction)|GO:0044331(cell-cell adhesion mediated by cadherin)	qsproteome:QS116479(identity)|pubmed:20689042(see-also)|wwpdb:4r10(subset)|pubmed:25850673(see-also)|pubmed:11560894(see-also)|wwpdb:4r11(subset)|complex portal:CPX-499(complex-primary)	Adherens junction component that regulates cell-cell adhesion during development and specifically during tissue organization. Important for gastrulation, ventral enclosure and embryonic elongation.	Phosphorylation in the cytoplasmic tail of hmr-1 increases the binding affinity for hmp-2.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	O44326(1)|P90947(0)|Q967F4(1)
CPX-634	Ccr4-Not complex	-	6239	G5EFX8(0)|Q10923(0)|Q17345(0)|Q18224(0)|Q20937(0)|Q9NA34(0)|Q9U1P4(0)|W6RTE4(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0032968(positive regulation of transcription elongation from RNA polymerase II promoter)|GO:0000289(nuclear-transcribed mRNA poly(A) tail shortening)|GO:0030015(CCR4-NOT core complex)|GO:0004535(poly(A)-specific ribonuclease activity)	intenz:3.1.13.4(identity)|pubmed:23843623(see-also)|complex portal:CPX-634(complex-primary)	Major cellular mRNA deadenylase complex, removing polyA tails that protect transcripts from degradation and promotes translation in the cytoplasm. The complex is linked to various cellular processes including bulk mRNA degradation, miRNA-mediated repression, translational repression during translational initiation, and general transcription regulation, potentially by promoting the resumption of elongation of arrested RNAPII when it encounters transcriptional blocks in vivo. The complex is required for germ cell development in adult hermaphrodites.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5EFX8(0)|Q10923(0)|Q17345(0)|Q18224(0)|Q20937(0)|Q9NA34(0)|Q9U1P4(0)|W6RTE4(0)
CPX-653	PAN2-PAN3 mRNA deadenylation complex	Pan2-Pan3 complex	6239	P34653(0)|P53015(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0031251(PAN complex)|GO:0000289(nuclear-transcribed mRNA poly(A) tail shortening)|GO:0004535(poly(A)-specific ribonuclease activity)	qsproteome:QS116481(identity)|pubmed:23843623(see-also)|intenz:3.1.13.4(identity)|complex portal:CPX-653(complex-primary)	A poly(A)-specific 3' exoribonuclease required to regulate Poly(A) tails added to mRNA co-transcriptionally and which are required for the export of mature mRNAs to the cytoplasm The complex is responsible for the poly(A) trimming of the tail length to a transcript specific size which regulates translation repression and mRNA decay. The complex is non-essential, but its deletion results in increased polyA-tail length. 	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P34653(0)|P53015(0)
CPX-712	Exocyst	-	6239	P91149(0)|Q18286(0)|Q18406(0)|Q19262(0)|Q20678(0)|Q22706(0)|Q95Q35(0)|Q9XWS2(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0000145(exocyst)|GO:0090522(vesicle tethering involved in exocytosis)|GO:0005546(phosphatidylinositol-4,5-bisphosphate binding)	pubmed:26394140(see-also)|pubmed:26633194(see-also)|pubmed:24192838(see-also)|complex portal:CPX-712(complex-primary)|pubmed:17989692(see-also)|pubmed:22389680(see-also)|pubmed:26240175(see-also)	Recruited to sites of active exocytosis and membrane expansion, where it mediates the tethering of secretory vesicles to the plasma membrane in preparation for soluble N-ethylmaleimide-sensitive factor (NSF) attachment protein receptor (SNARE)-mediated membrane fusion. Functions with the small GTPase rab-10 to regulate the membrane trafficking of membranes and dendrite proteins from the Golgi and/or endosomal compartments to plasma membrane during dendrite morphogenesis in multi-dendritic PVD sensory neurons. Acts downstream of the small GTPases ral-1 to regulate hypodermal cell migration. Furthermore, together with rab-10 regulates dendrite morphogenesis and anterior-posterior patterning of the PVD neurons dendritic arbor. The targeting of secretory vesicles to the plasma membrane involves direct interactions of the exocyst with PI(4,5)P2. In addition, a number of small GTP-binding proteins interact with components of the exocyst and regulate the assembly, localization, and function of this complex. Its involvement in membrane trafficking may be regulated by sur-6 a component of the PP2A-SUR-6 phosphatase complex (CPX-712). 	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	P91149(0)|Q18286(0)|Q18406(0)|Q19262(0)|Q20678(0)|Q22706(0)|Q95Q35(0)|Q9XWS2(0)
CPX-806	Ndc80 complex	-	6239	O45406(0)|Q17635(0)|Q21952(0)|Q9N2X3(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-1175852	GO:0048487(beta-tubulin binding)|GO:0031262(Ndc80 complex)|GO:0008608(attachment of spindle microtubules to kinetochore)|GO:0005874(microtubule)|GO:0008017(microtubule binding)	qsproteome:QS114867(identity)|pubmed:23085020(see-also)|pubmed:24231804(see-also)|pubmed:17129783(see-also)|pubmed:26941333(see-also)|complex portal:CPX-806(complex-primary)	Crucial for the stable kinetochore-microtubule attachments that are needed to sustain the centromere tensions involved in achieving proper chromosome alignment in eukaryotic cells. Plays a role in chromosome alignment and microtubule-dependent control of Mad-1/Mad-2 (CPX-402) and dynein complexes at kinetochores, and also chromosome segregation in mitosis and meiosis and spindle checkpoint activity. The complex is recruited to microtubules by kinetochore protein knl-1, which in turn is recruited by knl-3, a component of the MIND complex (CPX-807). Incorrect microtubule binding is controlled by phosphorylation of the ndc-80 subunit by ipl-1/Aurora kinase B. Phosphorylation of ndc-80 reduces the microtubule binding affinity of the complex. Erroneous microtubule-kinetochore attachments are also controlled by the Rzz complex (CPX-810), which interacts with the Ndc80 complex to inhibit irregular microtubule binding. This inhibition is relieved by recruitment of dynein to kinetochores by the coiled-coil protein Spindly/spdl-1. Synergistically enhances the affinity of the Ska-1 complex (CPX-811) for microtubules, which may furthermore allow the Ndc80 complex to track depolymerizing microtubules.	The Ndc80 complex is rod-like with a globular head at each end. Ndc-80 and him-10 form one head, and this structure is required for binding the complex to microtubules. Stokes radius is ~85 Angstroms.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	O45406(0)|Q17635(0)|Q21952(0)|Q9N2X3(0)
CPX-807	Kinetochore Mis12 complex	Mis12 complex|MIND complex	6239	O76406(0)|Q8MNT1(0)|Q95QB8(0)|Q9N3R7(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-1179641	GO:0000444(MIS12/MIND type complex)|GO:0005634(nucleus)|GO:0008608(attachment of spindle microtubules to kinetochore)|GO:0000776(kinetochore)|GO:0000922(spindle pole)	qsproteome:QS134055(identity)|pubmed:17129783(see-also)|complex portal:CPX-807(complex-primary)	Required for normal chromosome alignment and segregation, kinetochore formation during mitosis, proper kinetochore microtubule attachments and for the spindle assembly checkpoint. The complex plays a role in establishing a bipolar spindle-kinetochore interaction by joining kinetochore subunits contacting DNA to those contacting microtubules. Mis12/MIND is part of a tridentate linker layer, which also contains the Ndc80 complex. Alone, the Mis12/MIND complex does not bind to microtubules, but interaction with kinetochore protein knl-1 (P34278) increases the microtubule binding affinity. knl-3 recruits knl-1 to the complex which in turn recruits the Ndc80 complex to microtubules.	Stokes radius= 48 Angstroms.	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	O76406(0)|Q8MNT1(0)|Q95QB8(0)|Q9N3R7(0)
CPX-808	Knl-1/Mis12/MIND complex	-	6239	O76406(0)|P34278(0)|Q8MNT1(0)|Q95QB8(0)|Q9N3R7(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-1175966	GO:0051988(regulation of attachment of spindle microtubules to kinetochore)|GO:0008017(microtubule binding)|GO:0008608(attachment of spindle microtubules to kinetochore)	qsproteome:QS123963(identity)|pubmed:17129783(see-also)|complex portal:CPX-808(complex-primary)	Required for the stable kinetochore-microtubule attachments that are needed to sustain the centromere tensions involved in achieving proper chromosome alignment in eukaryotic cells. Kinetochore protein knl-1 is essential for the kinetochore-microtubule interactions and increases the microtubule binding affinity of the Mis12 complex to aid in chromosome segregation during meiotic and mitotic cell division. knl-3 recruits knl-1 to the Mis12 complex which in turn recruits the Ndc80 complex to microtubules.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	O76406(0)|P34278(0)|Q8MNT1(0)|Q95QB8(0)|Q9N3R7(0)
CPX-810	RZZ complex	Rod/Zwilch/Zw10 complex	6239	Q19642(0)|Q20849(0)|Q95XP9(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0051988(regulation of attachment of spindle microtubules to kinetochore)|GO:0034501(protein localization to kinetochore)|GO:1990423(RZZ complex)|GO:0000776(kinetochore)	qsproteome:QS121589(identity)|pubmed:18765790(see-also)|pubmed:24231804(see-also)|complex portal:CPX-810(complex-primary)	An essential component of the kinetochore required for both meiotic and mitotic spindle assembly checkpoints. Plays a required role in spindle assembly checkpoint, blocking the metaphase-to-anaphase transition until all chromosomes are properly aligned in a metaphase plate. Targets mdf-2 of the mad-1/mad-2 complex (CPX-402) and also dynein/dynactin to kinetochores via the coiled-coil protein Spindly/spdl-1. This allows for the formation of stable spindle microtubule to kinetochore attachments, which in turn are required for activation of the spindle checkpoint and chromosome segregation. In order to prevent erroneous kinetochore attachments, the Rzz complex also interacts with the Ndc-80 complex (CPX-806) to inhibit the binding of the Ndc80 complex to microtubules. The recruitment of dynein to kinetochores by Spindly/spdl-1 relieves this inhibition.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	Q19642(0)|Q20849(0)|Q95XP9(0)
CPX-811	Ska1 complex	Spindle and kinetochore-associated complex	6239	Q9BI86(1)|Q9XWS0(2)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0051988(regulation of attachment of spindle microtubules to kinetochore)|GO:0008017(microtubule binding)|GO:0005874(microtubule)	qsproteome:QS114869(identity)|pubmed:23085020(see-also)|complex portal:CPX-811(complex-primary)	A microtubule-binding subcomplex of the outer kinetochore that is essential for proper chromosome segregation. The Ska1 complex is a direct component of the kinetochore-microtubule interface and directly associates with microtubules as oligomeric assemblies. The complex tracks with depolymerizing microtubule ends and associates with the microtubule lattice and curved protofilaments, and thus facilitates the processive movement of microspheres along a microtubule in a depolymerization-coupled manner. Synergistically enhances the affinity of the Ndc80 complex (CPX-806) for microtubules, which may furthermore allow the Ndc80 complex to track depolymerizing microtubules.	-	Heterotrimer	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	Q9BI86(1)|Q9XWS0(2)
CPX-812	Knl1-Zwint1 complex	Blinkin complex	6239	O44956(0)|P34278(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0051988(regulation of attachment of spindle microtubules to kinetochore)|GO:0000776(kinetochore)	qsproteome:QS117623(identity)|pubmed:23979716(see-also)|complex portal:CPX-812(complex-primary)	Recruits the Rzz (CPX-810) and mad-1/mad-2 (CPX-402) complexes to the outer kinetochore to allow for the formation of stable microtubule and kinetochore attachments during chromosome segregation.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	O44956(0)|P34278(0)
CPX-957	Nuclear cap-binding complex	CBP20-CBP80 complex|CBC|Cap complex	6239	O01763(1)|Q93594(1)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0000340(RNA 7-methylguanosine cap binding)|GO:0003729(mRNA binding)|GO:0005846(nuclear cap binding complex)|GO:0000398(mRNA splicing, via spliceosome)|GO:0000339(RNA cap binding)|GO:0005634(nucleus)|GO:0031053(primary miRNA processing)|GO:0042789(mRNA transcription from RNA polymerase II promoter)|GO:0000956(nuclear-transcribed mRNA catabolic process)|GO:0006406(mRNA export from nucleus)|GO:0035195(gene silencing by miRNA)|GO:0031124(mRNA 3'-end processing)	qsproteome:QS117641(identity)|pubmed:24354960(see-also)|complex portal:CPX-957(complex-primary)	Binds co-transcriptionally to the 5-prime, m7GpppG-cap (m7G-cap) structures of all RNA polymerase II transcripts (mRNAs and pre-miRNAs). Required for various processes such as pre-mRNA splicing through commitment complex and spliceosome formation, export of mRNA out of the nucleus, degradation of nuclear mRNAs, primary miRNA processing and miRNA-mediated RNA interference. In the cytosol, importin-beta interacts with CBC-bound importin-alpha and promotes the dissociation of the RNA from CBC. Importin-complex-bound CBC gets reimported into the nucleus for reuse. 	By similarity to other species, ncbp-2 directly binds the capped RNAs and ncbp-1 is required to stabilize the movement of the N-terminal loop of ncbp-2 and lock the CBC into a high affinity cap-binding state with the cap structure. 	Heterodimer	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	O01763(1)|Q93594(1)
CPX-958	SCF-rpm-1 ubiquitin ligase complex	-	6239	G5ECU1(0)|Q17389(0)|Q17551(0)|Q18223(0)	ECO:0005547(biological system reconstruction evidence based on inference from background scientific knowledge used in manual assertion)	-	GO:0090128(regulation of synapse maturation)|GO:0061630(ubiquitin protein ligase activity)|GO:0006511(ubiquitin-dependent protein catabolic process)|GO:0019005(SCF ubiquitin ligase complex)	qsproteome:QS143529(identity)|pubmed:15208641(see-also)|intenz:2.3.2.27(identity)|complex portal:CPX-958(complex-primary)	SCF-rpm-1 is a member of the SCF (Skp1-Cullin-F-box) E3 ubiquitin ligase family, in which the F-box protein, rpm-1, forms the substrate recognition subunit. The complex mediates the ubiquitination and subsequent proteasomal degradation of target proteins. The complex is formed at presynaptic periactive zones along dorsal and ventral nerve cords and targets proteins such as scd-2, an ALK tyrosine kinase receptor, to stabilize synapse formation. Required for the restriction and/or maturation of synapses in GABAergic neuromuscular junction (NMJ) presynaptic neurons.	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5ECU1(0)|Q17389(0)|Q17551(0)|Q18223(0)
CPX-965	E2F1-DP1 transcription factor complex	E2f1 complex|E2F1-DP1 complex	6239	G5EF11(0)|Q22703(0)	ECO:0000353(physical interaction evidence used in manual assertion)	intact:EBI-15014074	GO:0000976(transcription cis-regulatory region binding)|GO:0000981(DNA-binding transcription factor activity, RNA polymerase II-specific)|GO:0006355(regulation of DNA-templated transcription)|GO:0046599(regulation of centriole replication)|GO:0090575(RNA polymerase II transcription factor complex)	qsproteome:QS116461(identity)|pubmed:23347407(see-also)|pubmed:26772748(see-also)|pubmed:11463372(see-also)|complex portal:CPX-965(complex-primary)	Transcription factor complex which binds DNA through the E2 recognition site, 5'-TTTC[CG]CGC-3', typically associated with the promoters of genes active in S phase. Activates genes that stimulate DNA synthesis and cell cycle advancement. The complex positively and negatively regulates the transcription of genes required for centriole duplication and assembly. 	-	-	-	-	-	-	-	psi-mi:"MI:0486"(UniProt)	G5EF11(0)|Q22703(0)
